prakrit	english
दक्खत्तणओ राया झत्ति विलग्गो य तस्स साहाए,लग्गसु लग्गसु देवि! झत्ति एयं भणेमाणो	Suddenly the sun is out, Help is on the way, Take me to God!" was her reply.
अइवेगओ करिस्सा अदक्खयाए य इत्थिभावस्स,गब्भस्स य गरुयत्ता भयवेविरओ सरीरस्स	It is impossible not to be horrified by the body, by the weight of its weight, and by the fact that it is so fragile.
कयअज्झवसायावि हु न सक्किया जाहि तत्थ लग्गेउं,ताहे य करिवरो सो झडत्ति तत्तो अवक्कन्तो	In any business I am not sure which will suit me best. The chances are slim that he will do it."
अह गुरुसोगो राया तहट्ठिओ जा तओ पलोएइ,ता पिच्छइ गयणेणं जन्तं वेगेण तं करिणं	"Master, if you ever want to go fishing, you'd better do it as fast as you can.
अह विम्हिओ मणेणं चिन्तइ राया अहो! महच्छरियं,मोत्तुं भूमिपयारं वच्चइ हत्थी नहयलेण	Ah, the bee, I suppose; Raya thinks! A spider, a pearl, has strayed from the surface of the earth As an elephant does not bathe.
पुव्वविरुद्धसुरो सो विलसइ नूणं इमेण रूवेण,न हु केवलिणा भणिया भावा इह अन्नहा हॊन्ति	He is angry with himself, He is jealous of me, And he does not care what happens to me."
एवं विचिन्तयन्तस्स तस्स,हत्थी अदंसणीभूओ,ताव अणुमग्गलग्गं रन्नो सिन्नं समणुपत्तं	And while he was thinking about it, The elephant ignored him, And when he ran into the thicket It was as if he had hit upon a snake.
अह करिवरमग्गेणं समरप्पियपमुहसुहडसयकलियं,देवीगवेसणत्थं पट्ठविउं साहणं राया	Ah, the pleasure of embracing one's lover, The path that leads to God's presence Is arduous.
कहकहवि गरुयसोओ सामन्तमहन्तगाण वयणेण,पत्तो नियनयरम्मी सुन्नो वुन्नो निराणन्दो	When a man speaks with a loud voice, Strong as a bow, He listens with patience And is completely at peace.
परिचत्तरज्जचित्तो चिट्ठइ जा कइवि तत्थ दिवसाणि,कमलावइसम्पावणआसाए धरियनियजीओ	Some days you can sit and write with your eyes closed." "- The farmer's wife, Who had hoped for a libation of lotuses, Assume the patience of her husband.
ता अन्नदिणे सिन्नं समरप्पियपमुहमागयं सहसा,दीणं विमणं खिन्नं लज्जाविणमन्तमुहकमलं	That's why my face is usually smeared with red ghee, Not to mention my dark breasts.
अह रन्ना आपुट्ठो समरप्पिओ कहसु भद्द! वुत्ततं,किं दिट्ठो दुट्ठकरी देवीवि विमोइया तत्तो?	"Ah, what a cruel man you are, Surrender!" "asked the hunter," "But did you see that the God of Love had redeemed you?
दीहं नीससिऊणं भणियं समरप्पिएण सुण देव!,करिवरदिसापयट्टा पत्ता अडवीइ ता अम्हे	"My God, if you want to hear how I'm feeling, Just give me one day and I'll do it!" "is the answer.
तत्थ य बहुप्पयारं गवेसमाणेहिं देव! अम्हेहिं,दिट्ठो न सो करिवरो नेव य देवी न य पउत्ती	God, it is very difficult to believe! But, behold, he has not made a Creator, a Goddess, or a Personage."
अवरावरसवरगणं पुच्छताणं सुदूरपत्ताणं,अह अन्नदिणे कहियं कप्पडियनरेण एक्केण	Traveler, ask a distant land, or say," "There's something on the river bank."
तत्तो सत्तमदिवसे पउमोयरनामए सरवरम्मि,गयणाउ निवडमाणो महिलासहिओ करी दिट्ठो	So, on the seventh day of your period, your husband will repeat the name of your favorite woman.
तत्तो भयभीएणं दूरट्ठियगुविलतरुपविट्ठेण,नारीरहिओ पुणरवि पलोइओ तत्थ हत्थित्ति	So frightened were they that looked a long way off And fell upon their faces again. So did the hands of women.
वियरतो सरतीरे,इय तस्स ओ वयणयं सुणेऊण,भणियं दंससु भद्दय! तं सिग्घं सरवरं अम्ह	"Wait a moment, you fool, Let me hear what you have to say. You silly bitch! Thanks for the heads up.
अह तेण दंसियं तं पलोइयं सरवरं समं तेण,न य उवलद्धा देवी निउणम्पि गवेसमाणेहिं	"I found her, and found her a whole other body, but not as the uplifted goddess Who went down into the forest With her husband's bow.
सरवरजोयणमित्ते विउत्तपुरिसेहिं पाविओ हत्थी,तं घित्तुं निराणन्दा इहागया देवमूलम्मि	When the elephant steps on top of the hunter's wife The root of God's root is here, To stop him from destroying himself.
ता किं तत्थेव सरे गभीरनीरम्मि उवरया देवी,अह तत्तो उत्तरिउं पत्ता उ कहिम्पि वसिमम्मि?	Is that the case with the goddess Who, wobbling on tiptoe, raises the water in her cupped hands?"
अहवा सावयपउरे वणम्मि केणवि विणसिया होज्ज,न य जाणामो किञ्चिवि नरिन्द! देवीए वुत्तन्तं	"Oh, what a fool Love has made of me, For I do not know how to be cruel!" "was the goddess's reply.
एवं च जाव जम्पइ समरप्पिओ पत्थिवस्स से पुरओ,ताव य दारनिउत्तो कयविणओ एवमुल्लवइ	And when he opens the doorway And surrenders himself to the knight, There is bound to be something very wrong with him.
दारम्मि सुमइनामो नेमित्ती चिट्ठइति सुणिऊण,भणियं रन्ना किं भो! सो एसो सुमइनेमित्ती?	Dormant, my daughter - in - law has written me a letter, so please, tell me," "What is the need to cry?" "Is this your husband?
जस्साएसाउ तया दिन्ना नरवाहणेण मह देवी?,पासट्ठिएहिं सिट्ठं,नरिन्द! एवन्ति,अह रन्ना	As the God of Love asks:" "Is this the place for a man to lie?" "Instead, let him lie for a while.
भणियं पविसउ सिग्धं पुच्छामो जेण देविवुत्तन्तं,वयणाणन्तरमेसो पवेसिओ दारवालेण	If we ask God directly, He will answer right away," said the doorkeeper.
कयउवयारो रन्ना उवविट्ठो विणयपुव्वयं सुमई,आपुट्ठो,किं देवी जीवइ व नवत्ति वज्जरसु?	Why, my dear, Is there a God who gives life And causes destruction When all else is silent?
उवओगं दाऊणं भणियं अह सुमइणा जियइति,अक्खयदेहा सम्पइ मिलिया इव बन्धुवग्गस्स	"Your highness, I promise you, My daughter - in - law will live long enough To meet you in person, Like a relative visiting a relative.
कइया समागमो मह तीए,किं वा हवेज्ज से गब्भे?,इय पुट्ठो नरवइणा कयउवओगो पुणो भणइ	Will I ever meet her, or will I fall in love with her again?" was the answer.
जइया नरिन्द! सुविणे गिण्हसि विसमट्ठियं कुसुममालं,तत्तो य मासमित्ते समागमो तुम्ह देवीए	"Jai Narinda! Well, you can count on one hand the abundance of safflower flowers, and it is to your goddess that the fair is held every month.
होही तणओ तीए विजुज्जिही किन्तु जायमेत्तो सो,नियमाऊए,नरवर! एवं किल कहइ हु निमित्तं	"Who is afraid of her wiles, but if she does, let her rule!" "and" "Kill her!
