prakrit	english
निज्जरिय-जरा-मरणं वन्दित्ता जिण-वरं महावीरं,छप्पण्णय-गाहाऒ वॊच्छं सुयणस्स जॊग्गाऒ	Life is transient, Death is imminent, The boon of good fortune is great, But waking up in the middle of the night Proves fatal.
पुरिसॆसच्च-समिद्धॆ,अलिय-दलिद्दॆसहावॆ-सन्तुट्ठॆ,तव-नियम-धम्म-मइऎविसमा विसमा हॊन्ति	Men are pure and united, women are generous and kind, men are compassionate and content, and law and dharma are inseparable.
गयणम्मि गहा सयणम्मिसुमिणयासउणया वणग्गॆसु,तह वाहरन्ति पुरिसं जह दिट्ठं पुव्व-कम्मॆहिं	Gone is the guinea pig, Gone are the sesame seeds, And gone are the gooseflesh That men shed at the sight of flowers.
सव्वॆ ताह पसत्थासुमिणा सउणागहा य नक्खत्ता,ति-हुयण-मङ्गल-निलयं हियऎण जिणं वहन्तस्स	All are captivated by the beauty of nature, Whether it be gold or silver, Or by the blue sky in which they live.
कत्थइ न करइमॊल्लं सुवण्णयं कत्थ दूहवॊ वन्दॊ,कत्थइसरल-सहावॊ जणॊन संमाणणं लहइ	One who does not commit adultery Gives pleasure in a relationship, One who is kind and compassionate Earns respect among others.
दूर-त्थॊ डहइ रवी,अग्गी अङ्गॆहĩफरसिऒडहइ,डहइ पिय-विप्पऒगॊ,सुयणॊवि अ-दंसणॆ डहइ	Far away the fire is burning, The flame is burning hard through the limbs, The fire is drinking - spoiling the fire, The midday sun is shining brightly.
डहऎ सुयण-विऒगॊ,डहइअ-णाहत्तणं पर-विऎसॆ,डहइय अब्भक्खाणं,डहइअ-कज्जंकयंपच्छा	Right is a pleasure, wrong is a punishment, right is an ordeal, and so on.
सन्त-गुण-विप्पणासॆ असन्त-दॊसुब्भवॆयजं दुक्खं,तं सॊसॆइ समुद्दं; किं पुण हिययं मणुस्साणं?	Sant, guna, viprasnasa, and non - suffering are one and the same thing; what is human life all about?
सन्तॆहि अ-सन्तॆहियपरस्स किं जम्पियॆहि दॊसॆहिं?,अत्थॊ जसॊ न लब्भइ,सॊयअ-मित्तॊ कऒ हॊइ	What do you mean you're not happy? You're angry. But if you can't see him, Who is a good friend?
महुरॆण जिणह कडुयं,खमाए दप्पं गुरुं पणामॆण,सन्तॊसॆण यलॊहं,कलहं च अजम्पियव्वॆण	The bee conquers the bitter, the prick the sharp, The husband the cruel, The yokel the content, And discord the indomitable.
ऎक्क-सुकऎण तूसह जाव सयं दुक्कियाण वॊलॆइ,स-सरीरॆ वि न सक्का दियहॆ दियहॆ पियं काउं	If you want to be happy, You'd better go with me, For even my body will not forgive me, Not my lover's.
कह नाम तस्स पावं चिन्तिज्जइआगऎ विकॊहम्मि,उप्पल-दल-सुकुमालॊ जस्स घरॆओल्लिऒहत्थॊ?	What is the name of that tree by which we first thought of it? It looks like a bunch of peacock feathers hanging down from the roof of a house.
पिय-पाहुण-आगमणॆअ-पहुप्पन्तस्ससज्जण-जणस्स,मरणाऒअब्भहियंउप्पज्जइमाणसंदुक्खं	To drink, To visit, To arrive, To leave, To gather, To depart, To die, Is the arrow that lifts the bow.
न हु अइ-भरियंधम्मइ; जह भरियं तह सुहावहं हॊइ;,पन्चम्मि न यकिलिम्मइगऒ वि पिय-पाहुणॊ हॊइ.	I am not so stuffy; the fuller the more pleasant; the thinner the five, the more agreeable it is to drink.
तॆ धन्ना जॆ धम्मं सुट्ठु वि जाणन्ति सुट्ठु विकरन्ति,जीविय-सारम अ-सारं:खणॆण परियत्तऎ सव्वं	Blessed are those who, though they know Dharma properly, still behave properly: The essence of life is immaterial: Everything is perishable by circumcision.
सा माया सॊ य पिया,तं मित्तंबन्धवॊ यसॊ चॆव,जॊ हिय-निस्सॆस-करं धम्मस्स पहॆ नयं दॆइ	That love is what makes one drunk, That friendship is what gives one such ear, That politeness cures one's dharma.
न वि तं करॆइ माया पिया य पुत्तॊ य बन्धव-जणॊ य,जं पुरिसस्सायरिया करन्ति धम्मं उवइसन्ता.	Nor does she call him Maya, or her son, or any of her relatives; The Dharma is identical with what men and women perform.
किं अच्छह वीसत्था? दियहा वॊलॆन्ति तुरिय-पहिय व्व;,तॆ य न गणन्ति तुब्भॆ,तुब्भॆहि न वि य गणिज्जन्ति.	How come you're so busy? The diyas flutter like trumpets, They can't count you out, Nor can you count them out.
तुट्ठा हॊन्ति मणुस्सा: इन्दमहॊ आगऒ त्ति रमणीऒ;,न वि जाणन्ति वराया: पडिया संवच्छर-सलाया!	A man who is broken: The fire is great, And a woman who is lovely - No one knows what a bridegroom is But the bedchamber.
उच्चासणॊ मह-इच्छॊ,आणाइन्तॊ य निर-उवयारीऒ,अलसॊ पिय-जिम्मण रूसणॊ य न चिरं पिऒ हॊइ.	Ascendancy is a great desire, Being immature is useless, Being lazy does not last, Being angry or angry Does not last.
सहसत्ति पीइमन्ता अ-त्थक्कॆ जं व तं व जम्पन्ता,पासॆ य निवॆसन्तापिया यसत्तुत्तणम उवॆन्ति.	One hundred and eighty drinks a day, Jumping from one place to another, As though one were passing by And sighing loudly.
नीयं अइक्कमन्तॊ पुव्वाभासी पियाĩ जम्पन्तॊ,छन्दं अणुयत्तन्तॊ वॆसॊ वि जणॊ पियॊ हॊइ.	If you do not speak fluently, You will become drunk, And if you muddle through the rhythms, So will everyone else.
छन्दं जॊ अणुयत्तइ मम्मं रॊहइ गुणा पयासॆइ,न हु नवरि माणुसाण य,दॆवाण वि दुल्लहॊ हॊइ.	The rhyme that goes with it makes me angry, makes me more angry, Does not appeal to human beings, Even the devil is deceived.
आवं ति य ऎवं ति य वॊत्तव्वं पण्डिऎण पुरिसॆण:,इयरॊ वि हॊइ तुट्ठॊ,इयरं पि तत्तियं चॆव.	Come, tell me,"" said the wise man to his wife, ""Every year has been a fluke, Every year a quagmire.
छज्जइ पहुस्स ललियं,पियाए माणं,खमा समत्थस्स,जाणन्तस्स य भणियं,मॊणं च अ-याणमाणस्स.	One must reach for the lotus, drink from it, forgive with patience, speak with understanding, and do not muddle one's mind.
सहइ न कडुयं जम्पइ,दॊसॆ न लहइ गुणा पयासॆइ,रूसन्ताण न रूसइ,दक्खिण्ण-महाभडॊ सुयणॊ.	One cannot bear to be bitter, One cannot abuse to be angry, One can't get angry without being angry, The south wind is a cruel poison.
सुयणॊ न चॆव रूसइ: अह रूसइ मन्गुलं न चिन्तॆइ:,अह चिन्तॆइ न जम्पइ; अह जम्पइ लज्जिऒ हॊइ.	A needle does not pierce an ear; a bruiser does not think, like a weeper; a wormer does not yawn; a yawner is ashamed of himself.
जं दुज्जणस्स सुयणॊ लज्जाऎ सहइ छिन्न-लज्जस्स,तं जाणइ निल्लज्जॊ,ऎसॊ अ-समत्थऒ सहइ.	That the wicked sleep, Suffer shame, Shatter shame, He knows how to stand firm; Such a man endures disharmony.
अणुयत्तियं न याणइ,पियॆ वि भणिऎ वि अ-प्पियं भणइ,दाणॆण न सम्पज्जइ; नत्थि उवाऒ खल-यणस्स.	One does not know right from wrong, One speaks wrongly even when one is loved, Charity does not prosper; This does not make one an evil person.
बज्झइ मन्तॆहि विसं,हत्थि रज्जूहि सॆउणा सलिलं;,पयइ-विसमस्स बन्धॊ न याणिमॊ दुज्जण-जणस्स.	A thunderclap is a poison to the mind, A bow is a snare to the hand, A rope is a weapon to the army, A twang is not a friend to anyone But an evil one.
सव्वस्स ऎस पयई: पियम्मि उप्पाइऎ पियं काउं:,सुयणस्स का वि पयई: अ-कऎ वि पिऎ पियं काउं.	All are equal: The beloved is superior: Dear friends, And those who are selfish are inferior: No one is dear to another.
कज्जम्मि समावडिऎ अणुयत्तह दुज्जणं पयत्तॆण,विसम आसा किर जायइ अमयाओ विसं न संभवइ.	If one does not act in due course, One is doomed to wretchedness, And if one's anger does not subside, One cannot be angry.
जइ वि खमा परिभूया,जइ वि खमन्तस्स आयरॊ नत्थि,तह वि खमा खमियव्वा; खम-सरिसॊ बन्धवॊ नत्थि.	If anything goes wrong, there is no cause for regret; nothing is more wrong than bad friends.
कह तस्स रूसियव्वं जस्स पणामॊ पुणॊ वि कायव्वॊ?,अच्चन्त-निग्गुणस्स वि कह सक्का रूसिउं तस्स?	How can you be so angry, Mr Punam? Even with such naïvety, How could you be really angry?
रॊसस्स खमा दण्डॊ,काम-गुणाणं निरुम्भणा दण्डॊ;,दुज्जण-जणस्स कलह-उज्जयस्स परिवज्जणा दण्डॊ.	Forgiveness is the punishment for resentment, detachment is the penalty for faults in conduct, discord and disharmony are the punishments for wrong views.
भद्दं पहू सुयाणं अवराहॆऊण बद्ध-वइराण,पणिवइय-वच्छलाणं मुहुत्त-चण्ड-एक्क-रॊसाणं.	A bad man is bound to a good man, A good man to a bad man, And a poor man to an angry man.
बीहॆयव्वं दुज्जण-जणस्स निच्चं पलॊट्ट-जीहस्स,वर-रयण-निज्झरस्स व वयण-करालं वहन्तस्स.	The poor wretch has turned his back on himself, The bridegroom on his wedding day Has shed tears, And the wife has shed tears.
अत्थक्कओ जम्पऎ पयइ-पायडं सव्व-लॊय-तत्तिल्लं;,तं माणुस-वॆयालं पुहई वि स-सन्किया भमइ.	At the same time he jumps up and down, And all the people fall down, But when he reaches the summer he is haunted by nightmares.
नीऒ खणॆण रच्चइ; रत्तॊ सन्तॊ विरच्चइ खणॆण,नीऒ विरत्त-मॆत्तॊ भामॆइ घरा-घरिं दॊसॆ.	Nio is composed of mud; red is dispersed through mud; nio is scattered through mud And mud is scattered from house to house.
सुयणॊ चिरस्स रच्चइ; रत्तॊ सन्तॊ विरच्चइ चिरस्स;,सुयणॊ जइ वि विरच्चइ; तह वि न दॊसॆ पयासॆइ.	A needle makes a frown, A tear drops from a tear, And a sigh drips from a wound, But it does not dry up.
छुल्लुच्छलॆइ जं हॊइ ऊणयं रित्तयं कणयणॆइ;,भरियाई न वुच्चन्ति सुपुरिस-विण्णाण-भण्डाईं.	The peacock peeps at the parrot Whichever way it likes; The bird does not see the snake - The sky - The treachery.
तं खाह जं जरिज्जइ,तं जम्पह जं महा-यणॆ जॊग्गं;,तं जम्पन्ति सु-पुरिसा,कालॆण वि जं न लन्घॆइ.	For what's worn out is worn out, What's grown with great vigor; For what remains of a good man Is grown old, But what does not last.
तत्तिय-मॆत्तं जम्पहजॆत्तिय-मॆत्तस्स निक्कलं चवह,तंउक्खिवॆहभारं जं अद्ध-पहॆ न छड्डॆह.	Tatya - mattress Jump up and down - Matthasa nikalam chavah, That weight of straw that you did not leave half way through.
वुज्झन्ति नाम भारा,तॆ च्चिय वुज्झन्ति वीसमन्तॆहिं,सील-भरॊ वॊढव्वॊ जावज-जीवंअ-वीसामॊ.	The tree grows heavy, The teak grows taller by twenty feet, The seal grows large, And the jasmine lives long.
जॊ सक्कयं न याणइ सुविसुद्ध-पाइयं पि वॊत्तुं-जॆ,मॊणंतुतस्स सरणं,नीसरणं अहव परिसाऎ.	One who does not know right from wrong is always right - One who knows the wrong way is always wrong.
उच्चं न सिक्खिऒ अद्ध-सिक्खिऒ सिक्खिऒ कु-सालाऎ,जॊ वहइ विउस-वायं सॊ सरिसॊ सन्नियाऎण.	One who does not learn high, one who learns low, One who goes astray, Is entirely a hermit.
कॊ कुवलयाण गन्धं करॆइ महुरत्तणं च उच्छूणं,वर-हत्थीण य लीलं,विणयं च कुल-प्पसूयाणं?	Who smells the jasmine, Who calls the full moon and the moonlight, Who makes the bridegroom and his bride, Or the lilies of the elephants, And the weaving of the trees?
अणुयत्तह भणह पियं,जं कज्जं तंमुणॆहहियऎण:,महुरं लवइ मयूरॊ स-विसं च भुयन्गमं गिलइ.	My dear, Allow me to tell you the reason why: The bee loves the peacock And swallows the earthworm.
उच्छू महुरॊ सॊमॊ चन्दॊ चन्दणं चिय सु-सुरभिं,अभिजाऒ य कुलीणॊ; कॊ दॊसॊ आयरॊ च'ऎव?	Spring is sweet, the moon is fragrant, the crescent moon is pleasant to the taste of, Like the jasmine in a manger; Who needs a medicine or iron?
जॊ गुड-कयाए वायाए जम्पऎ विस-कऎण हियऎण,सॊ बिल-गऒ व सप्पॊ वज्जॆयव्वॊ पयत्तॆण	One who does good - By doing good, Jumps high, And does evil - By staying awake - By playing the flute.
अ-द्दिट्ठॆ वि खल-यणॆ नाम-ग्गहणॆ वि हॊइ आसन्का,अलिय-पलत्तॆ वि अही अहि त्ति भण कॊ न बीहॆइ?	Who would not be afraid to say:"" ""Here I am, even at a bad omen, And there I will return in due course?
सण्डॆव-पडिय-पच्चुट्ठिऎण सीऎण थरहरन्तॆण,थॆरॆण पहॆ रुन्नं तारुण्णं सम्भरन्तॆणं.	One shakes with excitement When one is young, One weeps when one is old, And one remembers one's youth When one has run away.
विवरीया थॆर-मई वारिज्जन्ती य जाइ थॆर-मई,कालॊ तॆत्तिय-थामं न पॆच्छसॆ पण्डुरं सीसं.	Vivariya thera-may be hereditary or jaay thera - may be, The black crow does not know how to walk, For he knows how to steer.
तं हि सरीरं तं जि मुहु,ताई जि लोयणयाĩ,नाइ विही सीसं चरइ,दिन्नौ पाउ जराए.	That is what the body is for, that is what it is made of, not what it consumes but what it drinks.
तĩ पहु धणिय घरॆण घरु नयणिहĩ दाइय सो हु;,एवहि जर-नीहोडियौ,पडिजिय अच्छइ एहु.	Your highness, Don't leave home without a maid; It's my brother - in - law's house. If you don't come with me again, My husband will come with you.
लट्ठी-धरिय-कडॆवर गय-जॊवण ऎवम ऎव सन्तुट्ठ;,सहइ कडुयं पि भणिऒ: गऒ तुमं रूसिउं कालॊ!	The young man is always satisfied, Even when he is bitter He says:"" ""Go, you angry farmer!
सिरु पलियũ मुहũ वलि-भरिउ; जर लग्गी हय नाम,मरणं होइ अचिन्तियũ; धम्मु करहि जिय नाम.	Siru palya, open your mouth, fill with pain; If you want to say the name, do not think of dying; The dharma protects the name.
